,world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio
56,56,university of sydney,australia,54.3,84.4,68.1,77.5,72.4,68.1,41868.0,20.2,28%,57:43:00
57,58,university of amsterdam,netherlands,52.2,66.5,64.7,87.4,62.8,67.8,24570.0,14.4,11%,53:47:00
58,59,hong kong university of science and technology,hong kong,49.4,80.5,66.1,82.6,68.1,67.2,11385.0,23.8,36%,nan
59,60,the university of queensland,australia,49.2,89.3,62.8,82.4,76.7,67,34718.0,32.7,27%,53:47:00
60,60,washington university in st louis,usa,54.3,44.9,55.6,99.2,33.5,67,12528.0,5.7,17%,nan
61,62,utrecht university,netherlands,48.1,55.8,64.3,88.1,89.1,66.6,30779.0,15.4,7%,59:41:00
62,63,university of north carolina at chapel hill,usa,58.0,39.0,54.5,95.9,39.4,66.4,26518.0,7.3,8%,58:42:00
63,64,boston university,usa,57.8,51.0,49.5,97.7,30.3,66.1,24789.0,8.6,17%,58:42:00
64,65,delft university of technology,netherlands,55.0,84.0,73.8,61.5,100,65.9,15920.0,19.4,25%,26 : 74
65,65,university of minnesota,usa,53.5,35.3,61.0,88.0,98.5,65.9,46825.0,18.0,13%,52:48:00
66,67,leiden university,netherlands,50.5,64.3,63.1,85.2,49.8,65.7,21222.0,17.1,10%,59:41:00
67,68,university of southern california,usa,49.3,56.3,58.9,93.0,38,65.5,36534.0,12.9,20%,52:48:00
68,69,university of bristol,united kingdom,47.6,82.4,51.6,91.2,40,64.3,17906.0,14.0,25%,53:47:00
69,70,durham university,united kingdom,47.9,86.4,51.9,87.7,34.4,63.6,15489.0,15.7,24%,54:46:00
70,71,erasmus university rotterdam,netherlands,37.2,76.1,55.2,95.6,54.6,63.5,20580.0,18.9,18%,48:52:00
71,72,free university of berlin,germany,57.9,69.2,72.2,60.2,35.1,63.2,33062.0,39.3,20%,58:42:00
72,73,monash university,australia,48.1,87.6,58.5,73.3,79.7,62.5,50882.0,40.5,36%,56:44:00
