,world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio
232,201-250,polytechnic university of milan,italy,30.1,48.8,31.7,76.3,66.3,-,30025.0,22.2,12%,34 : 66
233,201-250,royal veterinary college,united kingdom,26.0,81.7,27.8,74.9,45.5,-,1819.0,10.9,18%,77:23:00
234,201-250,rush university,usa,37.7,21.8,17.4,88.9,45.4,-,1855.0,2.1,5%,71:29:00
235,201-250,sapienza university of rome,italy,38.0,34.7,37.3,61.5,32.6,-,120986.0,32.3,7%,59:41:00
236,201-250,university of science and technology of china,china,46.7,21.4,36.6,67.2,80.3,-,14290.0,7.9,2%,nan
237,201-250,university of south florida,usa,24.8,45.1,35.7,73.4,99.8,-,31424.0,21.5,10%,nan
238,201-250,stony brook university,usa,32.6,53.2,22.0,83.0,33.4,-,21908.0,10.9,24%,50:50:00
239,201-250,university of stuttgart,germany,40.0,52.7,44.5,55.7,99.8,-,24099.0,45.4,20%,31 : 69
240,201-250,swedish university of agricultural sciences,sweden,31.5,40.1,32.8,68.1,99.9,-,3879.0,4.6,nan,67:33:00
241,201-250,technical university of darmstadt,germany,37.1,54.4,43.2,51.1,99.1,-,20300.0,53.6,18%,28 : 72
242,201-250,university of technology sydney,australia,27.0,90.1,35.1,66.9,42.3,-,24519.0,44.1,31%,53:47:00
243,201-250,tel aviv university,israel,41.0,47.5,50.5,49.2,42.9,-,23977.0,24.4,4%,nan
244,201-250,university of texas at dallas,usa,24.3,52.3,26.7,86.8,41.8,-,16306.0,22.8,23%,44:56:00
245,201-250,tilburg university,netherlands,34.1,71.6,47.1,51.5,57.4,-,7576.0,22.4,10%,49:51:00
246,201-250,tohoku university,japan,45.3,29.3,42.7,49.4,74.7,-,17200.0,5.0,7%,25 : 75
247,201-250,tokyo institute of technology,japan,45.6,31.9,47.6,42.2,70.9,-,9586.0,7.3,13%,0.602083333
248,201-250,university of victoria,canada,20.6,70.2,30.0,79.0,36.6,-,17581.0,21.5,11%,56:44:00
249,201-250,wake forest university,usa,34.6,24.2,19.5,94.8,42.5,-,7326.0,4.6,5%,51:49:00
250,201-250,university of western ontario,canada,38.6,73.6,32.4,59.0,59.7,-,27387.0,20.7,16%,54:46:00
251,201-250,william & mary,usa,38.5,26.6,17.5,85.0,29.1,-,7867.0,11.8,7%,54:46:00
252,201-250,university of the witwatersrand,south africa,26.2,68.4,31.5,76.0,99.7,-,23321.0,18.6,9%,56:44:00
253,251-300,aalto university,finland,31.1,65.4,32.8,62.1,61.6,-,16099.0,24.2,17%,32 : 68
254,251-300,aix-marseille university,france,36.7,63.0,22.1,64.9,33.1,-,71749.0,45.5,13%,61:39:00
255,251-300,university of bath,united kingdom,28.9,84.8,27.9,56.7,36.3,-,12830.0,18.8,30%,46:54:00
256,251-300,bayreuth university,germany,32.2,52.6,31.2,60.1,56.4,-,12520.0,35.5,8%,46:54:00
257,251-300,bielefeld university,germany,35.2,45.4,46.2,49.9,60.9,-,21428.0,67.8,8%,57:43:00
258,251-300,university of bordeaux,france,25.3,54.6,22.0,71.7,30.6,-,51239.0,19.4,12%,58:42:00
259,251-300,charles darwin university,australia,17.8,63.7,22.6,85.9,43.2,-,5570.0,25.4,15%,67:33:00
260,251-300,colorado school of mines,usa,28.5,35.5,30.3,71.8,83.7,-,5287.0,18.2,12%,26 : 74
261,251-300,colorado state university,usa,31.6,34.5,33.0,59.3,41,-,26769.0,19.0,5%,52:48:00
262,251-300,university of delaware,usa,23.7,41.6,34.0,70.0,98.7,-,19262.0,15.9,10%,56:44:00
263,251-300,flinders university,australia,21.4,64.7,25.7,69.5,41.7,-,15655.0,22.6,15%,63:37:00
264,251-300,university of georgia,usa,41.1,39.2,30.5,52.2,30.9,-,33119.0,19.9,7%,57:43:00
265,251-300,griffith university,australia,22.5,81.7,25.2,66.3,34.6,-,30251.0,22.0,21%,nan
266,251-300,university of iceland,iceland,16.2,61.0,16.2,91.4,28,-,13960.0,25.9,8%,66:34:00
267,251-300,indian institute of science,india,42.7,16.4,47.2,42.4,52.4,-,3318.0,8.2,1%,0.847916667
268,251-300,iowa state university,usa,31.2,35.4,29.4,61.5,54,-,29991.0,17.4,11%,44:56:00
269,251-300,james cook university,australia,19.0,70.4,22.8,81.4,40.7,-,11713.0,21.9,11%,63:37:00
270,251-300,justus liebig university giessen,germany,32.9,46.8,33.9,52.9,46.4,-,25682.0,53.9,9%,62:38:00
271,251-300,king abdulaziz university,saudi arabia,23.9,93.0,11.8,76.6,73.1,-,35889.0,8.4,21%,57:43:00
272,251-300,koç university,turkey,21.2,53.5,27.1,74.9,82.4,-,4488.0,14.6,8%,52:48:00
273,251-300,korea university,south korea,43.9,40.2,43.4,41.8,99.8,-,24043.0,15.8,14%,nan
274,251-300,university of liège,belgium,29.1,69.7,36.6,46.5,98.9,-,20951.0,25.9,23%,54:46:00
275,251-300,linköping university,sweden,24.2,57.7,18.9,76.8,42.1,-,17866.0,7.7,10%,52:48:00
276,251-300,nanjing university,china,37.2,50.4,32.2,54.2,58.6,-,29743.0,13.3,10%,46:54:00
277,251-300,national tsing hua university,taiwan,37.7,23.2,36.6,53.0,49.5,-,10221.0,13.5,5%,33 : 67
278,251-300,"national university of ireland, galway",ireland,27.3,76.5,25.4,68.5,41.9,-,14067.0,26.8,14%,56:44:00
279,251-300,university of newcastle,australia,27.4,75.9,26.5,67.2,64.4,-,23508.0,21.9,18%,56:44:00
280,251-300,north carolina state university,usa,36.1,49.0,30.5,60.0,40.7,-,30533.0,13.6,11%,44:56:00
281,251-300,oregon state university,usa,30.6,42.8,28.5,63.8,32.1,-,22578.0,16.8,9%,47:53:00
282,251-300,osaka university,japan,46.8,26.6,45.2,37.4,76.1,-,23144.0,7.8,9%,31 : 69
283,251-300,queen’s university,canada,35.8,61.6,35.8,54.4,54.2,-,20488.0,22.1,10%,58:42:00
284,251-300,queensland university of technology,australia,28.8,76.0,35.6,56.0,73.7,-,33391.0,35.8,17%,54:46:00
285,251-300,rensselaer polytechnic institute,usa,30.4,40.3,31.5,65.1,79.6,-,6671.0,15.0,16%,30 : 70
286,251-300,royal college of surgeons in ireland,ireland,29.9,90.1,20.1,65.3,33.9,-,2473.0,15.6,63%,55:45:00
287,251-300,ruhr university bochum,germany,32.8,51.7,30.0,54.4,66.6,-,38675.0,46.3,13%,48:52:00
288,251-300,saint louis university,usa,36.9,26.6,10.9,85.0,29.9,-,11919.0,5.8,8%,58:42:00
289,251-300,university of são paulo,brazil,59.1,25.3,57.1,20.4,30.5,-,81402.0,14.6,4%,48:52:00
290,251-300,simon fraser university,canada,23.2,61.4,29.2,72.8,42.3,-,26640.0,28.3,19%,55:45:00
291,251-300,university of surrey,united kingdom,31.7,90.4,28.9,51.2,34.9,-,12063.0,16.6,38%,55:45:00
292,251-300,syracuse university,usa,31.4,38.3,20.8,77.1,36.3,-,19660.0,15.9,15%,55:45:00
293,251-300,university of tasmania,australia,21.8,79.1,25.7,68.0,42.7,-,18340.0,23.8,21%,57:43:00
294,251-300,"university of tennessee, knoxville",usa,29.5,39.3,23.2,81.4,41.3,-,24716.0,17.0,5%,nan
295,251-300,tomsk polytechnic university,russia,31.6,32.7,15.1,82.4,60.2,-,11902.0,6.9,17%,39 : 61
296,251-300,tulane university,usa,39.1,35.3,19.3,67.8,32.4,-,11381.0,8.4,8%,56:44:00
297,251-300,umeå university,sweden,20.8,56.1,25.0,74.5,31.1,-,16667.0,11.9,7%,60:40:00
298,251-300,vienna university of technology,austria,34.1,77.3,32.0,54.6,86.5,-,26419.0,52.0,27%,27 : 73
299,251-300,virginia polytechnic institute and state university,usa,34.9,29.5,38.2,54.2,43.3,-,30850.0,18.6,10%,42:58:00
300,251-300,university of wollongong,australia,25.8,86.8,28.4,59.3,57.9,-,16489.0,25.4,24%,50:50:00
301,251-300,zhejiang university,china,44.3,19.6,46.0,36.1,96.2,-,47508.0,15.9,5%,41:59:00
302,301-350,aberystwyth university,united kingdom,21.6,72.2,18.9,67.2,31.3,-,9252.0,19.2,18%,48:52:00
303,301-350,university of alaska fairbanks,usa,25.1,53.5,23.1,63.0,51.2,-,3837.0,8.2,7%,53:47:00
304,301-350,autonomous university of madrid,spain,35.6,48.6,30.9,46.9,33,-,28296.0,13.0,15%,56:44:00
305,301-350,bangor university,united kingdom,22.6,81.3,22.1,65.4,31,-,9567.0,19.5,22%,55:45:00
306,301-350,university of bremen,germany,30.9,50.0,32.7,50.0,46,-,18590.0,25.6,11%,50:50:00
307,301-350,university of cincinnati,usa,31.3,28.3,20.4,72.1,35.3,-,36108.0,15.7,6%,54:46:00
308,301-350,university of connecticut,usa,35.9,43.1,25.6,57.0,30.9,-,25742.0,13.0,11%,51:49:00
309,301-350,deakin university,australia,22.4,76.9,21.9,66.8,30,-,32713.0,30.4,17%,60:40:00
310,301-350,university of essex,united kingdom,33.9,93.7,33.3,38.6,28.9,-,12695.0,19.8,39%,55:45:00
311,301-350,george mason university,usa,29.6,36.9,21.2,64.9,29.1,-,26622.0,17.0,7%,54:46:00
312,301-350,university of greifswald,germany,30.1,41.7,23.5,61.3,32.6,-,10931.0,24.0,6%,55:45:00
313,301-350,gwangju institute of science and technology,south korea,35.2,36.2,42.0,43.7,45.2,-,1394.0,9.6,8%,25 : 75
314,301-350,university of hohenheim,germany,30.9,50.3,33.8,51.5,52.8,-,9163.0,41.2,13%,56:44:00
315,301-350,university of innsbruck,austria,23.6,95.7,16.9,67.3,39.9,-,18209.0,16.9,39%,54:46:00
316,301-350,kazan federal university,russia,21.9,25.5,12.3,87.5,42.4,-,23321.0,12.2,6%,69:31:00
317,301-350,university of kent,united kingdom,24.6,87.2,19.1,60.9,28.8,-,17638.0,14.4,27%,53:47:00
318,301-350,leibniz university of hanover,germany,36.5,43.2,36.9,39.0,69.6,-,22401.0,62.7,12%,41:59:00
319,301-350,macquarie university,australia,28.5,90.0,27.2,52.3,33.1,-,27930.0,20.0,44%,55:45:00
320,301-350,medical college of wisconsin,usa,25.4,30.4,12.1,85.2,31.8,-,1211.0,0.6,5%,48:52:00
321,301-350,university of milan,italy,30.5,37.7,24.2,64.8,40.9,-,58618.0,24.3,5%,60:40:00
322,301-350,university of milan-bicocca,italy,24.3,34.3,25.5,65.8,46.6,-,33370.0,72.5,5%,60:40:00
323,301-350,montpellier university,france,38.7,54.4,16.7,59.5,31.9,-,36731.0,18.4,14%,51:49:00
324,301-350,nagoya university,japan,40.8,27.4,38.9,40.1,91.4,-,15529.0,7.9,10%,29 : 71
325,301-350,university of naples federico ii,italy,24.7,21.1,14.8,81.3,47.4,-,83653.0,64.2,1%,nan
326,301-350,national chiao tung university,taiwan,32.9,32.0,45.4,34.2,96.9,-,12646.0,16.6,5%,27 : 73
327,301-350,national research nuclear university mephi,russia,43.9,27.5,24.1,52.8,28.1,-,7801.0,7.3,7%,29 : 71
328,301-350,national taiwan university of science and technology (taiwan tech),taiwan,31.7,30.5,43.1,39.1,92.2,-,7446.0,17.4,11%,34 : 66
329,301-350,university of navarra,spain,31.9,52.6,20.8,57.5,63.5,-,11259.0,10.6,16%,52:48:00
330,301-350,university of nebraska-lincoln,usa,30.1,45.8,30.2,53.5,35.6,-,21789.0,16.4,9%,46:54:00
331,301-350,örebro university,sweden,18.3,39.4,10.4,87.8,29.8,-,8788.0,15.8,2%,61:39:00
332,301-350,university of oregon,usa,21.2,33.5,22.7,72.6,30.8,-,24418.0,20.2,11%,52:48:00
333,301-350,university of padua,italy,25.7,37.9,22.6,74.6,32.6,-,62577.0,18.3,4%,56:44:00
334,301-350,university of pavia,italy,25.0,40.5,22.5,65.1,69.4,-,22958.0,40.6,6%,56:44:00
335,301-350,plymouth university,united kingdom,19.3,64.0,18.0,75.2,28.5,-,24121.0,25.9,13%,52:48:00
336,301-350,shanghai jiao tong university,china,37.8,27.5,45.2,34.0,92.9,-,38191.0,12.8,6%,37 : 63
337,301-350,university of southern denmark,denmark,19.2,71.8,14.7,79.7,28,-,22210.0,12.7,16%,52:48:00
338,301-350,stellenbosch university,south africa,28.2,49.8,35.0,46.9,100,-,21849.0,23.0,8%,53:47:00
339,301-350,university of strasbourg,france,25.5,71.6,23.4,64.4,32.8,-,46208.0,17.8,21%,58:42:00
340,301-350,technical university of dortmund,germany,34.2,40.8,29.8,55.3,48.6,-,29143.0,88.9,10%,47:53:00
341,301-350,technion israel institute of technology,israel,30.8,61.9,33.3,52.1,28.8,-,13855.0,19.4,4%,35 : 65
342,301-350,toulouse 1 capitole university,france,18.6,66.7,35.7,56.3,32.5,-,19011.0,43.8,19%,59:41:00
343,301-350,university of trieste,italy,26.5,47.3,18.5,74.1,32.3,-,18135.0,25.8,9%,56:44:00
344,301-350,university of turin,italy,27.4,38.8,22.3,67.5,54.2,-,67552.0,66.0,6%,62:38:00
345,301-350,university of turku,finland,27.1,66.2,21.2,65.8,31.2,-,12326.0,14.6,5%,61:39:00
346,301-350,vrije universiteit brussel,belgium,28.7,64.5,24.5,56.8,77.1,-,9020.0,17.1,16%,55:45:00
347,301-350,všb - technical university of ostrava,czech republic,18.8,22.3,15.7,85.5,32.1,-,14991.0,23.9,5%,49:51:00
348,301-350,yonsei university,south korea,37.2,41.5,34.1,39.4,75.9,-,24774.0,11.6,14%,nan
349,301-350,york university,canada,30.2,58.2,30.8,49.1,33.2,-,48007.0,39.4,9%,59:41:00
350,351-400,bilkent university,turkey,22.6,47.5,17.5,64.1,30.2,-,nan,nan,nan,nan
351,351-400,"binghamton university, state university of new york",usa,22.7,53.6,17.4,62.0,34,-,15799.0,23.3,14%,48:52:00
352,351-400,university of crete,greece,18.6,47.0,19.2,73.6,34.5,-,14650.0,26.9,5%,63:37:00
353,351-400,university of cyprus,cyprus,18.0,74.7,28.5,56.7,30,-,6880.0,22.9,8%,69:31:00
354,351-400,drexel university,usa,31.2,46.3,14.6,57.7,36.3,-,20713.0,10.8,18%,48:52:00
355,351-400,university of eastern finland,finland,24.8,46.1,20.7,65.1,33.3,-,10798.0,17.3,6%,64:36:00
356,351-400,university of florence,italy,21.7,38.5,20.4,72.1,35.9,-,54290.0,17.2,7%,59:41:00
357,351-400,university of st gallen,switzerland,25.8,97.6,11.2,53.5,41.8,-,6848.0,10.8,34%,32 : 68
358,351-400,graz university of technology,austria,26.0,69.3,15.8,52.9,77.2,-,7542.0,12.5,16%,0.970833333
359,351-400,university of guelph,canada,28.0,53.6,34.2,44.4,47.4,-,21643.0,28.3,4%,60:40:00
360,351-400,hanyang university,south korea,33.9,54.3,32.6,31.1,87.9,-,16729.0,10.4,19%,nan
361,351-400,hong kong baptist university,hong kong,22.6,75.0,12.1,67.9,28.8,-,10441.0,11.0,25%,61:39:00
362,351-400,university of houston,usa,34.9,33.9,26.5,52.0,42.3,-,40325.0,43.7,9%,50:50:00
363,351-400,indian institute of technology bombay,india,37.8,17.7,28.6,48.5,42.3,-,8327.0,14.9,1%,0.725
364,351-400,instituto superior técnico lisboa,portugal,22.2,43.7,25.0,59.8,38.8,-,11778.0,16.9,9%,27 : 73
365,351-400,university of jyväskylä,finland,28.2,47.1,25.5,55.5,34.2,-,9703.0,15.2,5%,62:38:00
366,351-400,la trobe university,australia,27.0,78.0,28.5,45.4,43.7,-,22037.0,29.0,27%,63:37:00
367,351-400,loughborough university,united kingdom,31.2,72.9,32.2,41.3,36.6,-,13951.0,15.9,22%,38 : 62
368,351-400,university of manitoba,canada,27.1,57.8,26.9,49.7,41.8,-,28576.0,27.8,11%,55:45:00
369,351-400,university of missouri,usa,31.2,31.0,21.0,60.2,31.1,-,29885.0,14.1,5%,53:47:00
370,351-400,university of modena and reggio emilia,italy,18.7,34.2,15.6,72.9,32.3,-,19693.0,25.3,6%,54:46:00
371,351-400,university of montana,usa,30.8,21.5,13.6,65.5,31,-,12470.0,15.2,3%,54:46:00
372,351-400,"national university of ireland, maynooth",ireland,24.6,75.6,22.8,50.2,36.6,-,7653.0,28.0,11%,55:45:00
373,351-400,university of nebraska medical center,usa,37.0,37.7,13.3,64.4,33.6,-,2857.0,2.6,8%,67:33:00
374,351-400,university of new mexico,usa,25.6,28.6,15.4,74.5,37,-,nan,nan,nan,nan
375,351-400,norwegian university of science and technology,norway,16.3,59.9,25.8,59.8,51.8,-,17381.0,13.9,9%,46:54:00
376,351-400,university of oulu,finland,23.1,56.9,15.9,62.3,30.9,-,14056.0,8.5,6%,49:51:00
377,351-400,panthéon-sorbonne university – paris 1,france,53.2,47.6,47.6,6.8,28.3,-,42215.0,34.3,20%,59:41:00
378,351-400,polytechnic university of turin,italy,23.7,50.6,18.6,65.9,42.5,-,27709.0,19.6,16%,29 : 71
379,351-400,university of rome iii,italy,23.1,35.9,21.0,64.8,37.5,-,36353.0,61.2,5%,59:41:00
380,351-400,sabancı university,turkey,22.3,42.7,32.3,52.8,70,-,2739.0,15.9,6%,39 : 61
381,351-400,san diego state university,usa,20.3,25.9,27.0,62.7,29.3,-,27420.0,31.7,5%,57:43:00
382,351-400,university of south australia,australia,26.4,89.0,26.7,41.2,85.9,-,18971.0,26.2,32%,59:41:00
383,351-400,university of south carolina,usa,31.1,24.5,21.5,58.7,30.3,-,29336.0,16.3,1%,55:45:00
384,351-400,university of south dakota,usa,29.3,17.1,12.1,70.4,28,-,8003.0,17.1,2%,61:39:00
385,351-400,state university of campinas,brazil,44.6,21.1,42.3,22.6,49.4,-,27095.0,15.3,3%,48:52:00
386,351-400,university of stirling,united kingdom,22.6,77.7,23.5,59.1,30.4,-,7828.0,15.9,22%,61:39:00
387,351-400,sun yat-sen university,china,31.9,37.0,24.6,45.7,79.4,-,51351.0,16.6,8%,51:49:00
388,351-400,swansea university,united kingdom,22.2,72.4,23.8,58.2,32.7,-,12801.0,17.1,20%,49:51:00
389,351-400,swinburne university of technology,australia,21.5,84.8,20.2,53.4,32.2,-,20314.0,36.5,33%,44:56:00
390,351-400,university of tartu,estonia,23.8,46.1,22.8,64.2,31.5,-,10269.0,13.0,3%,66:34:00
391,351-400,temple university,usa,34.0,28.6,18.2,58.3,41.6,-,33268.0,13.3,5%,51:49:00
392,351-400,university of texas at san antonio,usa,18.1,29.6,16.6,74.9,28.6,-,27520.0,26.9,6%,48:52:00
393,351-400,uit the arctic university of norway,norway,26.5,66.1,18.7,58.8,36.8,-,10398.0,12.2,10%,60:40:00
394,351-400,université libre de bruxelles,belgium,26.1,84.5,28.3,47.9,39.1,-,23819.0,26.1,32%,54:46:00
395,351-400,lille 2 university – health and law,france,15.1,39.4,9.5,81.7,31.5,-,26894.0,38.5,8%,58:42:00
396,351-400,university college cork,ireland,28.6,75.5,23.8,48.4,47.1,-,15805.0,22.3,15%,55:45:00
397,351-400,verona university,italy,23.6,38.3,13.1,76.1,36.6,-,25250.0,19.7,7%,65:35:00
398,351-400,victoria university of wellington,new zealand,26.0,88.8,28.7,44.3,45.6,-,17142.0,21.1,21%,55:45:00
399,351-400,washington state university,usa,29.0,39.6,28.2,49.6,57.1,-,24550.0,18.3,7%,50:50:00
400,351-400,wayne state university,usa,31.9,29.6,14.2,65.3,41.7,-,23065.0,10.7,7%,57:43:00
401,401-500,american university,usa,42.2,28.9,16.5,41.1,35.9,-,11604.0,12.0,12%,60:40:00
402,401-500,aston university,unted kingdom,18.4,92.5,20.4,51.9,34.6,-,nan,nan,nan,nan
403,401-500,university of aveiro,portugal,24.8,45.9,26.5,43.6,40.1,-,10791.0,17.8,10%,51:49:00
404,401-500,university of bari aldo moro,italy,28.7,31.7,21.6,48.8,45.4,-,51560.0,65.1,2%,65:35:00
405,401-500,bar-ilan university,israel,22.6,49.4,21.3,42.3,28.9,-,17503.0,16.0,5%,59:41:00
406,401-500,bournemouth university,united kingdom,32.0,70.6,12.6,35.2,28.8,-,14907.0,25.9,18%,53:47:00
407,401-500,university of brescia,italy,15.6,36.6,14.8,72.3,35.8,-,14076.0,25.0,7%,48:52:00
408,401-500,brno university of technology,czech republic,18.0,35.8,14.7,55.8,33.7,-,23694.0,21.3,15%,27 : 73
409,401-500,brunel university london,united kingdom,24.8,91.8,23.3,39.5,34.7,-,12613.0,17.6,38%,46:54:00
410,401-500,ca’ foscari university of venice,italy,23.9,38.1,27.8,48.9,32.3,-,19267.0,38.3,7%,66:34:00
411,401-500,university of cagliari,italy,19.4,32.6,13.2,56.8,33.6,-,30638.0,51.0,1%,62:38:00
412,401-500,university of canterbury,new zealand,23.5,91.0,22.5,38.9,52.1,-,12187.0,16.5,20%,51:49:00
413,401-500,catholic university of the sacred heart,italy,18.6,39.0,11.3,55.4,38.7,-,30304.0,18.9,10%,nan
414,401-500,charles university in prague,czech republic,31.5,52.8,21.5,41.0,28.2,-,51438.0,13.0,15%,62:38:00
415,401-500,"china medical university, taiwan",taiwan,24.0,25.7,29.4,45.0,60.4,-,7983.0,15.4,8%,53:47:00
416,401-500,city university london,united kingdom,23.5,89.6,21.2,43.5,28.9,-,13053.0,17.8,50%,55:45:00
417,401-500,claude bernard university lyon 1,france,21.3,50.5,13.2,66.5,34.5,-,35308.0,16.1,11%,50:50:00
418,401-500,university of coimbra,portugal,28.3,46.2,26.5,42.4,34.8,-,22795.0,19.0,11%,55:45:00
419,401-500,complutense university of madrid,spain,33.2,39.1,27.6,31.2,30.9,-,86519.0,17.5,13%,62:38:00
420,401-500,concordia university,canada,19.3,77.4,23.4,36.4,30.9,-,31017.0,30.3,27%,50:50:00
421,401-500,curtin university,australia,20.1,93.1,20.2,44.6,37.8,-,30333.0,17.1,38%,53:47:00
422,401-500,dublin city university,ireland,26.1,76.7,25.2,36.3,51.7,-,8546.0,22.9,17%,51:49:00
423,401-500,east china university of science and technology,china,24.1,21.7,17.1,46.4,64.7,-,27140.0,15.5,5%,nan
424,401-500,ewha womans university,south korea,23.9,34.3,18.3,50.4,57.6,-,17625.0,14.4,6%,100:00:00
425,401-500,federico santa maría technical university,chile,17.2,54.1,10.1,70.5,35.1,-,11718.0,34.0,2%,24 : 76
426,401-500,university of ferrara,italy,17.7,41.8,17.2,63.3,35.9,-,18882.0,30.2,7%,56:44:00
427,401-500,florida international university,usa,25.7,32.8,18.1,49.4,32.7,-,32566.0,25.9,7%,56:44:00
428,401-500,university of genoa,italy,27.2,38.8,14.2,59.3,42.3,-,37373.0,29.5,9%,56:44:00
429,401-500,georgia state university,usa,26.3,29.5,19.5,52.9,28.7,-,28534.0,20.4,5%,59:41:00
430,401-500,university of graz,austria,24.9,68.9,16.3,53.3,29.3,-,20584.0,26.8,12%,65:35:00
431,401-500,heriot-watt university,united kingdom,23.4,90.1,22.4,36.4,45.6,-,8773.0,17.8,43%,41:59:00
432,401-500,hokkaido university,japan,40.3,27.9,32.8,29.3,53.7,-,18162.0,8.2,9%,29 : 71
433,401-500,howard university,usa,38.8,30.3,11.0,44.5,-,-,10297.0,6.8,5%,65:35:00
434,401-500,university of hull,united kingdom,22.4,73.2,16.1,41.1,31.8,-,15141.0,18.7,20%,52:48:00
435,401-500,university of idaho,usa,28.3,32.0,19.4,40.8,32.4,-,11641.0,21.5,6%,47:53:00
436,401-500,indian institute of technology delhi,india,35.8,15.5,25.8,33.4,62.8,-,8371.0,17.3,1%,0.806944444
437,401-500,indian institute of technology kharagpur,india,33.2,13.3,30.5,41.4,31.7,-,9928.0,17.5,0%,0.684027778
438,401-500,indian institute of technology madras,india,34.6,16.1,20.7,31.4,88.9,-,8234.0,15.9,1%,0.847916667
439,401-500,university of ioannina,greece,14.5,36.9,17.7,56.4,32.9,-,20825.0,36.3,4%,58:42:00
440,401-500,iran university of science and technology,iran,25.9,12.2,26.0,42.3,61.2,-,10311.0,23.9,0%,24 : 76
441,401-500,johannes kepler university of linz,austria,19.2,58.5,13.8,51.6,37.4,-,19646.0,29.1,10%,48:52:00
442,401-500,university of kaiserslautern,germany,29.6,44.1,22.6,47.5,80.2,-,14184.0,54.4,14%,36 : 64
443,401-500,keele university,united kingdom,20.0,72.7,17.6,53.0,29.3,-,8397.0,15.7,20%,55:45:00
444,401-500,university of kwazulu-natal,south africa,20.3,58.6,25.7,41.5,38.2,-,30572.0,24.9,6%,58:42:00
445,401-500,kyung hee university,south korea,26.1,46.4,27.6,39.2,89.4,-,24356.0,17.4,14%,nan
446,401-500,kyushu university,japan,36.5,26.4,27.5,31.8,83.2,-,18925.0,6.7,8%,28 : 72
447,401-500,lehigh university,usa,23.9,36.0,15.0,58.2,38.9,-,6300.0,11.3,15%,44:56:00
448,401-500,louisiana state university,usa,26.8,26.1,27.7,37.8,-,-,28116.0,20.1,6%,52:48:00
449,401-500,university of macau,macau,18.5,98.4,17.0,49.7,34.9,-,8521.0,14.9,31%,58:42:00
450,401-500,makerere university,uganda,15.1,58.0,10.6,70.7,28,-,37340.0,29.4,9%,50:50:00
451,401-500,marche polytechnic university,italy,15.2,27.3,11.0,80.2,28,-,16589.0,23.0,4%,45:55:00
452,401-500,"university of maryland, baltimore county",usa,21.3,28.2,18.2,61.3,31.7,-,13908.0,18.1,7%,46:54:00
453,401-500,murdoch university,australia,18.7,88.3,19.6,51.2,36.5,-,16606.0,32.8,43%,59:41:00
454,401-500,university of nantes,france,19.6,35.1,12.2,69.4,-,-,33866.0,22.2,11%,56:44:00
455,401-500,national and kapodistrian university of athens,greece,26.7,39.0,16.3,45.8,-,-,63052.0,32.3,9%,61:39:00
456,401-500,national autonomous university of mexico,mexico,42.7,35.9,40.2,14.8,63.7,-,137378.0,11.6,5%,51:49:00
457,401-500,national cheng kung university,taiwan,29.8,27.7,40.2,27.2,100,-,21234.0,14.4,11%,36 : 64
458,401-500,national institute of applied sciences of lyon (insa lyon),france,27.0,63.6,10.6,41.8,40.3,-,6137.0,8.2,31%,31 : 69
459,401-500,national yang-ming university,taiwan,41.5,15.8,18.5,33.3,30.2,-,4496.0,5.4,2%,48:52:00
460,401-500,university of neuchâtel,switzerland,24.2,91.4,14.7,48.2,-,-,4358.0,8.5,22%,59:41:00
461,401-500,new university of lisbon,portugal,26.9,44.5,21.9,38.3,41.3,-,18867.0,17.9,7%,49:51:00
462,401-500,university of nice sophia antipolis,france,21.4,79.5,16.1,53.7,28.5,-,27304.0,20.3,22%,56:44:00
463,401-500,novosibirsk state university,russia,41.4,32.4,30.8,26.2,38.2,-,7131.0,7.1,13%,52:48:00
464,401-500,the open university,united kingdom,21.0,51.5,13.8,60.3,28.4,-,76683.0,35.9,9%,61:39:00
465,401-500,oxford brookes university,united kingdom,25.7,68.9,18.8,42.7,28.4,-,14238.0,18.5,25%,57:43:00
466,401-500,university of palermo,italy,15.3,23.6,9.1,77.4,28,-,43875.0,22.4,1%,60:40:00
467,401-500,university of parma,italy,17.7,36.8,16.6,56.4,37.1,-,26937.0,29.1,7%,56:44:00
468,401-500,university of pisa,italy,21.6,31.1,18.9,64.5,31.4,-,47247.0,18.0,4%,52:48:00
469,401-500,polytechnic university of catalonia,spain,25.2,63.9,14.8,44.7,40.9,-,22893.0,11.7,28%,0.561111111
470,401-500,pontifical catholic university of chile,chile,28.2,52.4,21.3,37.0,28,-,25075.0,15.3,7%,nan
471,401-500,university of porto,portugal,32.0,45.4,28.2,37.2,38.7,-,32720.0,18.8,9%,54:46:00
472,401-500,university of portsmouth,united kingdom,17.2,79.3,10.9,58.2,28.9,-,20161.0,19.1,23%,45:55:00
473,401-500,rmit university,australia,24.7,82.1,17.7,44.6,37,-,29501.0,18.1,25%,47:53:00
474,401-500,university of rome ii – tor vergata,italy,23.5,36.5,17.2,64.5,34.7,-,33504.0,26.5,6%,52:48:00
475,401-500,university of rovira i virgili,spain,20.8,41.5,14.8,66.9,30.9,-,12533.0,12.8,9%,61:39:00
476,401-500,saint petersburg state university,russia,47.9,33.0,31.4,14.5,29.5,-,20836.0,5.2,7%,60:40:00
