,World Rank,Institution,Location,National Rank
402,403,university of coimbra,portugal,3
403,404,university of milano-bicocca,italy,15
404,405,university of louisville,usa,121
405,406,federal university of minas gerais,brazil,6
406,407,university of reading,united kingdom,34
407,408,kyungpook national university,south korea,11
408,409,university of rennes 1,france,18
409,410,technical university of berlin,germany,32
410,411,university of saskatchewan,canada,19
411,412,martin luther university of halle-wittenberg,germany,33
412,413,eötvös loránd university,hungary,1
413,414,university of seville,spain,9
414,415,polytechnic university of catalonia,spain,10
415,416,catholic university of the sacred heart,italy,16
416,417,university of konstanz,germany,34
417,418,university of eastern finland,finland,5
418,419,école normale supérieure de lyon,france,19
419,420,indian institute of science,india,1
420,421,king saud university,saudi arabia,2
421,422,scuola normale superiore,italy,17
422,423,university of bremen,germany,35
423,424,university of strathclyde,united kingdom,35
424,425,university of newcastle,australia,17
425,426,university of santiago de compostela,spain,11
426,427,national chiao tung university,taiwan,4
427,428,university of oregon,usa,122
428,429,tulane university,usa,123
429,430,rensselaer polytechnic institute,usa,124
430,431,university of bari,italy,18
431,432,chonnam national university,south korea,12
432,433,capital medical university,china,29
433,434,king abdullah university of science and technology,saudi arabia,3
434,435,rush university,usa,125
435,436,insead,france,20
436,437,texas tech university,usa,126
437,438,university of pretoria,south africa,4
438,439,new university of lisbon,portugal,4
439,440,university of oviedo,spain,12
440,441,saint louis university,usa,127
441,442,federal university of são paulo,brazil,7
442,443,vita-salute san raffaele university,italy,19
443,444,university of ulsan,south korea,13
444,445,university of siena,italy,20
445,446,university of la laguna,spain,13
446,447,university of nice sophia antipolis,france,21
447,448,stellenbosch university,south africa,5
448,449,university of zaragoza,spain,14
449,450,university of canterbury,new zealand,3
450,451,university of malaya,malaysia,1
451,452,cairo university,egypt,1
452,453,aalborg university,denmark,5
453,454,university of bordeaux,france,22
454,455,university of central florida,usa,128
455,456,university of ferrara,italy,21
456,457,tu darmstadt,germany,36
457,458,university of savoy,france,23
458,459,university of mississippi,usa,129
459,460,lanzhou university,china,30
460,461,university of tehran,iran,2
461,462,university of modena and reggio emilia,italy,22
462,463,university of zagreb,croatia,1
463,464,chalmers university of technology,sweden,10
464,465,china university of geosciences,china,31
465,466,medical university of innsbruck,austria,5
466,467,national yang-ming university,taiwan,5
467,468,university of sherbrooke,canada,20
468,469,university of texas medical branch,usa,130
469,470,university of verona,italy,23
470,471,mahidol university,thailand,1
471,472,polytechnic university of valencia,spain,15
472,473,university college cork,ireland,3
473,474,university of hanover,germany,37
474,475,university of parma,italy,24
475,476,university of iceland,iceland,1
476,477,university of bayreuth,germany,38
477,478,west virginia university,usa,131
478,479,university of trento,italy,25
479,480,georgia state university,usa,132
480,481,southern methodist university,usa,133
481,482,chiba university,japan,15
482,483,university of nebraska medical center,usa,134
483,484,university of electronic science and technology of china,china,32
484,485,beihang university,china,33
485,486,san diego state university,usa,135
486,487,agroparistech,france,24
487,488,chulalongkorn university,thailand,2
488,489,university of tromsø – the arctic university of norway,norway,4
489,490,university of tartu,estonia,1
490,491,university of alabama - tuscaloosa,usa,136
491,492,bar-ilan university,israel,6
492,493,flinders university,australia,18
493,494,saarland university,germany,39
494,495,clemson university,usa,137
495,496,hunan university,china,34
496,497,east china university of science and technology,china,35
497,498,"open university, uk",united kingdom,36
498,499,university of wyoming,usa,138
499,500,lehigh university,usa,139
500,501,national central university,taiwan,6
501,502,tilburg university,netherlands,13
502,503,university of science and technology beijing,china,36
503,504,university of surrey,united kingdom,37
504,505,tokyo medical and dental university,japan,16
505,506,paris dauphine university,france,25
506,507,university of potsdam,germany,40
507,508,brigham young university,usa,140
508,509,university of palermo,italy,26
509,510,chang gung university,taiwan,7
510,511,university of catania,italy,27
511,512,boston college,usa,141
512,513,university of nantes,france,26
513,514,university of tampere,finland,6
514,515,beijing institute of technology,china,37
515,516,university of poitiers,france,27
516,517,utah state university,usa,142
517,518,nui galway,ireland,4
518,519,tata institute of fundamental research,india,2
519,520,university of burgundy,france,28
520,521,national chung hsing university,taiwan,8
521,522,university of minho,portugal,5
522,523,university of hull,united kingdom,38
523,524,"st george's, university of london",united kingdom,39
524,525,hacettepe university,turkey,1
525,526,loyola university chicago,usa,143
526,527,oklahoma state university,usa,144
527,528,colorado school of mines,usa,145
528,529,swansea university,united kingdom,40
529,530,national polytechnic institute of toulouse,france,29
530,531,massey university,new zealand,4
531,532,florida international university,usa,146
532,533,east china normal university,china,38
533,534,la trobe university,australia,19
534,535,chongqing university,china,39
535,536,shanghai university,china,40
536,537,university of plymouth,united kingdom,41
537,538,ewha womans university,south korea,14
538,539,technical university of dortmund,germany,41
539,540,"royal holloway, university of london",united kingdom,42
540,541,saint petersburg state university,russia,2
541,542,bielefeld university,germany,42
542,543,northwestern polytechnical university,china,41
543,544,konkuk university,south korea,15
544,545,national university of la plata,argentina,2
545,546,auburn university,usa,147
546,547,tehran university of medical sciences,iran,3
547,548,"china medical university, taiwan",taiwan,9
548,549,nanjing agricultural university,china,42
549,550,"university of maine, orono",usa,148
550,551,university of aveiro,portugal,6
551,552,catholic university of korea,south korea,16
552,553,university of salamanca,spain,16
553,554,second military medical university,china,43
554,555,syracuse university,usa,149
555,556,moscow institute of physics and technology,russia,3
556,557,carleton university,canada,21
557,558,university of texas at arlington,usa,150
558,559,national polytechnic institute,mexico,2
559,560,istanbul university,turkey,2
560,561,kanazawa university,japan,17
561,562,university of technology sydney,australia,20
562,563,university of alaska fairbanks,usa,151
563,564,western sydney university,australia,21
564,565,"birkbeck, university of london",united kingdom,43
565,566,"university of science, malaysia",malaysia,2
566,567,university of arkansas - fayetteville,usa,152
567,568,baylor university,usa,153
568,569,university of oklahoma health sciences center,usa,154
569,570,university of south australia,australia,22
570,571,masaryk university,czech republic,2
571,572,university of wisconsin–milwaukee,usa,155
572,573,polytechnic university of madrid,spain,17
573,574,university of rostock,germany,43
574,575,victoria university of wellington,new zealand,5
575,576,warsaw university of technology,poland,3
576,577,nanjing medical university,china,44
577,578,montana state university - bozeman,usa,156
578,579,memorial university of newfoundland,canada,22
579,580,chonbuk national university,south korea,17
580,581,tokyo metropolitan university,japan,18
581,582,college of william & mary,usa,157
582,583,braunschweig university of technology,germany,44
583,584,university of québec at montreal,canada,23
584,585,cinvestav,mexico,3
585,586,centralesupélec,france,30
586,587,nanjing university of science and technology,china,45
587,588,huazhong agricultural university,china,46
588,589,hec paris,france,31
589,590,zhengzhou university,china,47
590,591,suny downstate medical center,usa,158
591,592,sharif university of technology,iran,4
592,593,national sun yat-sen university,taiwan,10
593,594,university of clermont auvergne,france,32
594,595,novosibirsk state university,russia,4
595,596,middle east technical university,turkey,3
596,597,yokohama city university,japan,19
597,598,beijing university of chemical technology,china,48
598,599,"university of nevada, reno",usa,159
599,600,otto von guericke university magdeburg,germany,45
600,601,kitasato university,japan,20
601,602,university of montana - missoula,usa,160
602,603,university of jyväskylä,finland,7
603,604,university of arkansas for medical sciences,usa,161
604,605,university of crete,greece,3
605,606,university of lübeck,germany,46
606,607,chungnam national university,south korea,18
607,608,chung-ang university,south korea,19
608,609,inha university,south korea,20
609,610,palacký university olomouc,czech republic,3
610,611,university of salerno,italy,28
611,612,loughborough university,united kingdom,44
612,613,medical university of graz,austria,6
