,World Rank,Institution,Location,National Rank
797,798,indian institute of technology kanpur,india,12
798,799,quaid-i-azam university,pakistan,1
799,800,northeast normal university,china,77
800,801,ryerson university,canada,25
801,802,babeș-bolyai university,romania,1
802,803,ohio university,usa,186
803,804,wenzhou medical university,china,78
804,805,university of tours,france,45
805,806,"university of the andes, colombia",colombia,2
806,807,panjab university,india,13
807,808,university of alcalá,spain,28
808,809,university of hertfordshire,united kingdom,54
809,810,dankook university,south korea,27
810,811,chungbuk national university,south korea,28
811,812,university of sassari,italy,42
812,813,toho university,japan,34
813,814,federal university of ceará,brazil,13
814,815,portland state university,usa,187
815,816,gunma university,japan,35
816,817,polytechnic university of bucharest,romania,2
817,818,yokohama national university,japan,36
818,819,zhejiang university of technology,china,79
819,820,university of the balearic islands,spain,29
820,821,cranfield university,united kingdom,55
821,822,polytechnic university of bari,italy,43
822,823,budapest university of technology and economics,hungary,5
823,824,south china agricultural university,china,80
824,825,university of orléans,france,46
825,826,"national university of malaysia, ukm",malaysia,4
826,827,university of bucharest,romania,3
827,828,carlos iii university of madrid,spain,30
828,829,uniformed services university of the health sciences,usa,188
829,830,university of denver,usa,189
830,831,beijing university of technology,china,81
831,832,university of insubria,italy,44
832,833,sejong university,south korea,29
833,834,medical university of warsaw,poland,7
834,835,east carolina university,usa,190
835,836,beijing jiaotong university,china,82
836,837,china europe international business school,china,83
837,838,tokyo women's medical university,japan,37
838,839,university of wuppertal,germany,51
839,840,federal university of pernambuco,brazil,14
840,841,university of hyogo,japan,38
841,842,university of regina,canada,26
842,843,binghamton university,usa,191
843,844,wrocław university of science and technology,poland,8
844,845,university of toyama,japan,39
845,846,national taiwan normal university,taiwan,14
846,847,federal university of são carlos,brazil,15
847,848,metropolitan autonomous university,mexico,4
848,849,university of western brittany,france,47
849,850,tokai university,japan,40
850,851,harbin engineering university,china,84
851,852,gachon university,south korea,30
852,853,meijo university,japan,41
853,854,federico santa maría technical university,chile,4
854,855,michigan technological university,usa,192
855,856,école des hautes études en sciences sociales,france,48
856,857,shiraz university,iran,9
857,858,indian institute of technology roorkee,india,14
858,859,nara institute of science and technology,japan,42
859,860,new jersey institute of technology,usa,193
860,861,university of picardie jules verne,france,49
861,862,creighton university,usa,194
862,863,åbo akademi university,finland,9
863,864,miguel hernández university of elche,spain,31
864,865,jichi medical university,japan,43
865,866,university of siegen,germany,52
866,867,university of extremadura,spain,32
867,868,nagoya city university,japan,44
868,869,university of valladolid,spain,33
869,870,murdoch university,australia,25
870,871,wesleyan university,usa,195
871,872,ferdowsi university of mashhad,iran,10
872,873,north china electric power university,china,85
873,874,erciyes university,turkey,10
874,875,chung shan medical university,taiwan,15
875,876,hefei university of technology,china,86
876,877,china pharmaceutical university,china,87
877,878,dongguk university,south korea,31
878,879,"university of california, merced",usa,196
879,880,shanxi university,china,88
880,881,sofia university,bulgaria,1
881,882,kagoshima university,japan,45
882,883,jawaharlal nehru university,india,15
883,884,mansoura university,egypt,3
884,885,northern arizona university,usa,197
885,886,federal university of pelotas,brazil,16
886,887,shizuoka university,japan,46
887,888,inje university,south korea,32
888,889,fluminense federal university,brazil,17
889,890,chongqing medical university,china,89
890,891,"city, university of london",united kingdom,56
891,892,federal university of goiás,brazil,18
892,893,royal veterinary college,united kingdom,57
893,894,beijing university of posts and telecommunications,china,90
894,895,yangzhou university,china,91
895,896,gifu university,japan,47
896,897,university of veterinary medicine vienna,austria,10
897,898,yamagata university,japan,48
898,899,university of silesia in katowice,poland,9
899,900,university of jaén,spain,34
900,901,yamaguchi university,japan,49
901,902,shaanxi normal university,china,92
902,903,alexandria university,egypt,4
903,904,university of mons,belgium,8
904,905,university of cyprus,cyprus,1
905,906,gabriele d’annunzio university,italy,45
906,907,hitotsubashi university,japan,50
907,908,tunis el manar university,tunisia,1
908,909,southwest jiaotong university,china,93
909,910,ulster university,united kingdom,58
910,911,renmin university of china,china,94
911,912,florida institute of technology,usa,198
912,913,kyoto prefectural university of medicine,japan,51
913,914,anhui medical university,china,95
914,915,"university of technology, malaysia",malaysia,5
915,916,hallym university,south korea,33
916,917,comsats institute of information technology,pakistan,2
917,918,toulouse 1 capitole university,france,50
918,919,indian institute of management ahmedabad,india,16
919,920,aberystwyth university,united kingdom,59
920,921,university of jinan,china,96
921,922,north dakota state university,usa,199
922,923,university paris 1 panthéon-sorbonne,france,51
923,924,rouen normandy university,france,52
924,925,university of cádiz,spain,35
925,926,ritsumeikan university,japan,52
926,927,federal university of santa maria,brazil,19
927,928,university of new brunswick,canada,27
928,929,university of caen normandy,france,53
929,930,university of south bohemia in české budějovice,czech republic,5
930,931,osaka prefecture university,japan,53
931,932,çukurova university,turkey,11
932,933,paris nanterre university,france,54
933,934,university of alabama in huntsville,usa,200
934,935,rochester institute of technology,usa,201
935,936,dublin city university,ireland,5
936,937,university of hasselt,belgium,9
937,938,dokuz eylül university,turkey,12
938,939,university of massachusetts boston,usa,202
939,940,jaume i university,spain,36
940,941,nanjing university of information science and technology,china,97
941,942,télécom paristech,france,55
942,943,san francisco state university,usa,203
943,944,zhejiang normal university,china,98
944,945,guangxi university,china,99
945,946,jacobs university bremen,germany,53
946,947,howard university,usa,204
947,948,university of pécs,hungary,6
948,949,university of limerick,ireland,6
949,950,tottori university,japan,54
950,951,sciences po,france,56
951,952,university of windsor,canada,28
952,953,mie university,japan,55
953,954,nicolaus copernicus university in toruń,poland,10
954,955,hohai university,china,100
955,956,king juan carlos university,spain,37
956,957,royal college of surgeons in ireland,ireland,7
957,958,university of osnabrück,germany,54
958,959,university of perpignan via domita,france,57
959,960,qingdao university,china,101
960,961,sogang university,south korea,34
961,962,university of memphis,usa,205
962,963,hunter college,usa,206
963,964,north-west university,south africa,7
964,965,ningbo university,china,102
965,966,shahid beheshti university of medical sciences,iran,11
966,967,national taiwan ocean university,taiwan,16
967,968,insa toulouse,france,58
968,969,university of antioquia,colombia,3
969,970,shantou university,china,103
970,971,chung yuan christian university,taiwan,17
971,972,guangzhou medical university,china,104
972,973,amherst college,usa,207
973,974,yunnan university,china,105
974,975,johannes kepler university linz,austria,11
975,976,new york medical college,usa,208
976,977,missouri university of science and technology,usa,209
977,978,university of maribor,slovenia,2
978,979,atatürk university,turkey,13
979,980,eastern virginia medical school,usa,210
980,981,university of north carolina at greensboro,usa,211
981,982,beijing forestry university,china,106
982,983,liverpool school of tropical medicine,united kingdom,60
983,984,university of brighton,united kingdom,61
984,985,federal university of bahia,brazil,20
985,986,university of st. gallen,switzerland,9
986,987,xiangtan university,china,107
987,988,manchester metropolitan university,united kingdom,62
988,989,university of a coruña,spain,38
989,990,khon kaen university,thailand,4
990,991,university of ibadan,nigeria,1
991,992,shahid beheshti university,iran,12
992,993,university of massachusetts lowell,usa,212
993,994,loma linda university,usa,213
994,995,university of macau,macau,1
995,996,aga khan university,pakistan,3
996,997,university of calcutta,india,17
997,998,kōchi university,japan,56
998,999,soonchunhyang university,south korea,35
999,1000,capital normal university,china,108
